Literasi Digital,Motivasi Belajar,Kemandirian Belajar,Kemampuan Berpikir Kritis
32,33,53,41
30,38,56,36
27,28,45,34
24,20,32,28
18,28,35,25
24,32,45,39
29,30,43,36
29,28,46,40
26,22,43,35
16,19,28,23
30,27,55,41
26,23,46,32
25,20,30,25
30,32,48,39
25,24,48,31
28,27,43,34
29,31,44,38
29,24,38,35
34,35,52,45
34,35,52,45
34,38,56,36
23,21,31,23
21,21,31,20
24,21,28,21
22,21,30,25
22,24,29,26
21,20,29,26
23,19,28,22
19,22,33,29
23,19,31,24
21,20,33,29
23,18,31,25
21,18,29,21
25,22,32,29
